Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",120.620000,-78.540000,180.000000,bottom
"J4","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",138.400000,-78.540000,180.000000,bottom
